"drw_no";"drwt_no1";"drwt_no2";"drwt_no3";"drwt_no4";"drwt_no5";"drwt_no6";"bnus_no";"win_1_money";"win_1_count";"win_2_money";"win_2_count"
268;3;10;19;24;32;45;12;1350954515;7;45031818;35
269;5;18;20;36;42;43;32;1961399940;5;74295453;22
270;5;9;12;20;21;26;27;1927830060;5;50203908;32
271;3;8;9;27;29;40;36;1565918150;6;55925649;28
272;7;9;12;27;39;43;28;1104622800;9;42485493;39
273;1;8;24;31;34;44;6;3339543100;3;79512931;21
274;13;14;15;26;35;39;25;2505085575;4;45136678;37
275;14;19;20;35;38;40;26;10044066900;1;88105850;19
276;4;15;21;33;39;41;25;3312569000;3;53428533;31
277;10;12;13;15;25;29;20;3272627800;3;52784320;31
278;3;11;37;39;41;43;13;3186530000;3;59009815;27
279;7;16;31;36;37;38;11;1914205320;5;59080412;27
280;10;11;23;24;36;37;35;1355258529;7;58560554;27
281;1;3;4;6;14;41;12;1554683200;6;42018465;37
282;2;5;10;18;31;32;30;1322052643;7;48199836;32
283;6;8;18;31;38;45;42;3137224600;3;65358846;24
284;2;7;15;24;30;45;28;3117640300;3;111344297;14
285;13;33;37;40;41;45;2;3164370100;3;60853272;26
286;1;15;19;40;42;44;17;3236566300;3;59936413;27
287;6;12;24;27;35;37;41;1328657100;7;41894594;37
288;1;12;17;28;35;41;10;2357261550;4;65479488;24
289;3;14;33;37;38;42;10;0;0;63761694;24
290;8;13;18;32;39;45;7;2149214424;13;51251650;61
291;3;7;8;18;20;42;45;1450585200;7;43393575;39
292;17;18;31;32;33;34;10;720373950;14;45428988;37
293;1;9;17;21;29;33;24;1656764400;6;78893543;21
294;6;10;17;30;37;38;40;2406504975;4;61705256;26
295;1;4;12;16;18;38;8;0;0;62969875;26
296;3;8;15;27;30;45;44;3066088275;8;46243415;53
297;6;11;19;20;28;32;34;5056668750;2;60198438;28
298;5;9;27;29;37;40;19;9909778500;1;41290744;40
299;1;3;20;25;36;45;24;1483772529;7;59691999;29
300;7;9;10;12;26;38;39;836092425;12;49181908;34
301;7;11;13;33;37;43;26;1447385015;7;35927997;47
302;13;19;20;32;38;42;4;5472167250;2;41455813;44
303;2;14;17;30;38;45;43;1672749000;6;57681000;29
304;4;10;16;26;33;41;38;1661646150;6;44909356;37
305;7;8;18;21;23;39;9;2008210140;5;49220837;34
306;4;18;23;30;34;41;19;2102669520;5;76183679;23
307;5;15;21;23;25;45;12;2587643250;4;61610554;28
308;14;15;17;19;37;45;40;10232872800;1;63165882;27
309;1;2;5;11;18;36;22;901622946;11;66119016;25
310;1;5;19;28;34;41;16;1296713325;8;59619004;29
311;4;12;24;27;28;32;10;1237691063;8;38378018;43
312;2;3;5;6;12;20;25;629017820;15;27112838;58
313;9;17;34;35;43;45;2;1715422800;6;65977800;26
314;15;17;19;34;38;41;2;1660512200;6;69188009;24
315;1;13;33;35;43;45;23;1308728625;8;54530360;32
316;10;11;21;27;31;39;43;1673586400;6;57709876;29
317;3;10;11;22;36;39;8;2576258550;4;68700228;25
318;2;17;19;20;34;45;21;1207436600;9;64684104;28
319;5;8;22;28;33;42;37;2135659380;5;68450622;26
